day,board,title,destination_url,asset_brief,approval_status,scheduled_date,live_pin_url,notes
1,Muslim Baby Names by Meaning,Muslim Baby Names by Meaning,https://muslim-babynames.com/search?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d01_meaning,"Parchment name-book spread with six gold meaning tabs and an emerald title panel",Pending,,,"Create original 1000x1500 PNG"
3,Muslim Baby Girl Names,Muslim Baby Girl Names With Meaning,https://muslim-babynames.com/girl-names?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d03_girl_names,"Berry-tinged parchment, botanical linework, Arabic accent and soft gold rule",Pending,,,"Create original 1000x1500 PNG"
5,Muslim Baby Boy Names,Muslim Baby Boy Names With Meaning,https://muslim-babynames.com/boy-names?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d05_boy_names,"Deep-teal courtyard arch, geometric lattice, cream display type and gold index markers",Pending,,,"Create original 1000x1500 PNG"
8,Quranic Baby Names & Meanings,Quranic Baby Names With Meaning,https://muslim-babynames.com/quranic-names?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d08_quranic,"Indigo-to-emerald night sky with an eight-point aperture and gold crescent line",Pending,,,"Create original 1000x1500 PNG"
10,Unique Muslim Baby Names,Unique Muslim Baby Names With Meaning,https://muslim-babynames.com/unique-muslim-names?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d10_unique,"Warm paper slips on a courtyard table, clipped gold corner and distinctive note",Pending,,,"Create original 1000x1500 PNG"
13,Arabic Muslim Names,Arabic Muslim Names & Meanings,https://muslim-babynames.com/origin/arabic?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d13_arabic,"Emerald tiled aperture framing a large Arabic glyph with cream paper label",Pending,,,"Create original 1000x1500 PNG"
15,Muslim Baby Names by Meaning,Muslim Names Meaning Light,https://muslim-babynames.com/meaning/light?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d15_light,"Dawn-cream field with lantern-like geometric light pattern and gold rule",Pending,,,"Create original 1000x1500 PNG"
17,Muslim Baby Girl Names,Muslim Girl Names Starting With A,https://muslim-babynames.com/girl-names/a?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d17_girl_a,"Oversized archival A, berry accent and small name-card silhouettes",Pending,,,"Create original 1000x1500 PNG"
20,Muslim Baby Boy Names,Muslim Boy Names Starting With M,https://muslim-babynames.com/boy-names/m?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d20_boy_m,"Oversized emerald M in a tall arch, teal paper texture and gold rules",Pending,,,"Create original 1000x1500 PNG"
22,Quranic Baby Names & Meanings,Quranic Names for Boys and Girls,https://muslim-babynames.com/quranic-names?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d22_quranic_family,"Paired name cards below an indigo star aperture, inclusive composition",Pending,,,"Create original 1000x1500 PNG"
24,Unique Muslim Baby Names,Uncommon Muslim Names to Consider,https://muslim-babynames.com/unique-muslim-names?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d24_uncommon,"Three varied archival name slips with different gold geometric corners",Pending,,,"Create original 1000x1500 PNG"
27,Arabic Muslim Names,Arabic Baby Names by Letter,https://muslim-babynames.com/origin/arabic?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d27_arabic_letter,"Gold vertical letter-index rail beside a dark emerald arch and Arabic accent",Pending,,,"Create original 1000x1500 PNG"
29,Muslim Baby Names by Meaning,Muslim Names Meaning Peace,https://muslim-babynames.com/meaning/peace?utm_source=pinterest&utm_medium=organic&utm_campaign=launch_30d&utm_content=d29_peace,"Quiet cream ground with olive branch linework, emerald band and gold title",Pending,,,"Create original 1000x1500 PNG"
